incident_number,arrest_date,gender,race,age,charge,most_serious,arrest
12BU000021,1/1/2012 2:23,NA,NA,NA,Simple Assault,1,TRUE
12BU000029,1/1/2012 4:01,Male,White,26,Disorderly Conduct - All Other,1,TRUE
12BU000031,1/1/2012 4:30,Male,White,54,Domestic Assault,1,TRUE
12BU000039,3/14/2012 11:10,Female,White,39,False Pretenses,1,TRUE
12BU000039,3/14/2012 11:10,Female,White,39,Identity Theft,0,TRUE
12BU000049,1/1/2012 13:10,NA,NA,NA,Simple Assault,1,TRUE
12BU000050,1/1/2012 12:45,Male,White,26,Grand Larceny,1,TRUE
12BU000050,1/1/2012 12:45,Male,White,26,Unlawful Mischief (Misdemeanor),0,TRUE
12BU000050,1/1/2012 12:45,Male,White,26,Petit Larceny From A Motor Vehicle,0,TRUE
12BU000069,1/1/2012 17:18,Male,White,31,"Drugs - Cocaine, Possession  >2.5 Gm",1,TRUE
12BU000069,1/1/2012 17:18,Male,White,31,Domestic Assault - 1st Degree Aggravated,NA,TRUE
12BU000069,1/1/2012 20:55,Female,White,25,"Drugs - Marijuana, Possession Or Cultivation -Misdemeanor",1,TRUE
12BU000069,1/1/2012 20:55,Female,White,25,"Drugs - Cocaine, Possession  >2.5 Gm",NA,TRUE
12BU000090,1/1/2012 23:43,Male,Black,19,"Violation Of Conditions Of Release (Travel, Curfew, Or Contact)",1,TRUE
12BU000154,1/2/2012 13:10,Male,White,26,Stolen Property Receiving (Possession Of) Stolen Property (Misdemeanor),1,TRUE
12BU000159,1/2/2012 16:30,Female,Black,32,NA,1,TRUE
12BU000159,1/2/2012 16:30,Female,Black,32,NA,0,TRUE
12BU000215,2/8/2012 10:50,Male,White,48,Aggravated Assault,1,TRUE
12BU000300,1/4/2012 15:08,Female,White,47,Embezzlement,1,TRUE
12BU000308,1/4/2012 16:45,NA,NA,NA,"Violation Of Conditions Of Release (Travel, Curfew, Or Contact)",1,TRUE
12BU000348,1/5/2012 11:15,Male,Black,28,Driving With A Criminally Suspended License,1,TRUE
12BU000352,1/5/2012 11:08,Male,White,20,"Drugs - Marijuana, Possession Or Cultivation -Misdemeanor",1,TRUE
12BU000364,1/5/2012 16:34,Male,White,49,Driving With A Criminally Suspended License,1,TRUE
12BU000365,1/5/2012 15:43,NA,NA,NA,Burglary,1,TRUE
12BU000411,1/6/2012 0:24,Male,White,28,NA,0,TRUE
12BU000448,1/6/2012 12:00,Male,White,32,Driving With A Criminally Suspended License,0,TRUE
12BU000448,1/6/2012 12:00,Male,White,32,"Drugs - Depressant, Stimulant, And Narcotic Possession Misdemeanor",1,TRUE
12BU000460,1/6/2012 12:46,NA,NA,NA,Retail Theft (Felony),1,TRUE
12BU000466,1/6/2012 14:30,Male,White,36,Unlawful Trespass (Misdemeanor),1,TRUE
12BU000467,1/6/2012 16:48,Male,Black,23,Domestic Assault,1,TRUE
12BU000467,1/6/2012 16:48,Male,Black,23,Petit Larceny From A Building/Residence/Structure,0,TRUE
12BU000512,1/6/2012 19:43,Female,White,24,Petit Larceny Other,1,TRUE
12BU000516,1/6/2012 21:13,Female,White,21,Driving Under The Influence - First Offense,1,TRUE
12BU000530,1/6/2012 22:29,Female,White,31,Driving With A Criminally Suspended License,1,TRUE
12BU000540,1/6/2012 23:39,Female,White,21,"Liquor Sale Or Furnishing To Minors, Enabling Consumption By Minors - Felony",1,TRUE
12BU000549,2/8/2012 18:15,Male,Black,22,Aggravated Assault,1,TRUE
12BU000549,2/8/2012 18:15,Male,Black,22,Simple Assault,0,TRUE
12BU000549,2/8/2012 18:15,Male,Black,22,Stalking,0,TRUE
12BU000550,1/7/2012 3:58,NA,NA,NA,Unlawful Trespass (Misdemeanor),1,TRUE
12BU000550,1/7/2012 3:58,NA,NA,NA,Unlawful Mischief (Misdemeanor),0,TRUE
12BU000597,1/7/2012 18:03,Male,White,25,"Drugs - Depressant, Stimulant, And Narcotic - Sale",1,TRUE
12BU000597,1/7/2012 18:03,Male,White,25,Simple Assault,0,TRUE
12BU000597,1/7/2012 18:03,Male,White,25,False Information To A Police Officer,0,TRUE
12BU000597,1/7/2012 15:54,Male,Black,21,"Drugs - Depressant, Stimulant, And Narcotic - Sale",1,TRUE
12BU000634,1/7/2012 23:57,Male,White,28,Driving With A Criminally Suspended License,1,TRUE
12BU000642,1/8/2012 1:50,Male,White,32,Driving Under The Influence - First Offense,1,TRUE
12BU000685,7/19/2012 17:00,Male,White,52,Drugs - Selling Or Dispensing A Regulated Drug With Death Resulting,1,TRUE
12BU000685,7/19/2012 17:00,Male,White,52,"Drugs - Marijuana, Possession Or Cultivation 2+ Ounces Or >3 Plants",0,TRUE
12BU000735,1/9/2012 5:30,Male,White,48,Domestic Assault,1,TRUE
12BU000741,1/9/2012 10:24,Male,White,34,NA,0,TRUE
12BU000767,1/9/2012 17:01,Male,White,41,Driving With A Criminally Suspended License,1,TRUE
12BU000771,1/9/2012 16:49,Male,White,29,NA,0,TRUE
12BU000773,1/9/2012 16:59,Female,White,26,NA,0,TRUE
12BU000774,1/11/2012 9:35,Male,White,28,Petit Larceny From Other Location,1,TRUE
12BU000779,1/9/2012 18:12,Male,White,26,NA,0,TRUE
12BU000794,1/9/2012 20:31,Female,White,41,"Removing, Aid Or Abet In Removal, Of Merchandise Without Paying",1,TRUE
12BU000797,1/10/2012 0:28,NA,NA,NA,Domestic Assault,1,TRUE
12BU000803,1/10/2012 0:09,Male,White,25,NA,0,TRUE
12BU000814,1/10/2012 1:42,Female,White,28,Simple Assault,1,TRUE
12BU000828,1/10/2012 8:25,Female,White,29,Domestic Assault,1,TRUE
12BU000861,1/18/2012 13:00,Male,White,47,Sex Offender Registry Violation (Felony),1,TRUE
12BU000869,1/10/2012 18:37,Male,Black,45,Driving With A Criminally Suspended License,1,TRUE
12BU000884,1/10/2012 22:35,Male,Black,23,Retail Theft (Misdemeanor),1,TRUE
12BU000888,1/10/2012 22:45,Male,White,37,Driving With A Criminally Suspended License,1,TRUE
12BU000888,1/10/2012 21:50,Male,White,45,"Drugs - Heroin, Possession (Misdemeanor)",1,TRUE
12BU000890,1/10/2012 22:00,NA,NA,NA,Aggravated Assault,1,TRUE
12BU000897,1/11/2012 3:39,Male,Black,26,"Drugs - Heroin, Possession 2+ Grams",1,TRUE
12BU000906,1/11/2012 7:11,Male,Asian - A,19,Lewd And Lascivious Conduct,1,TRUE
12BU000931,1/11/2012 16:48,NA,NA,NA,Retail Theft (Misdemeanor),1,TRUE
