incident_num,defendant_id,arraignment_date,charge,num_charges,felony,expungable,any_bail,bail_amount,bail_types,num_conditions,did_not_appear,prior_appearences,gender,race,judge_id,arraignment_data
17BU021289,Defendant128,9/12/2017,Retail Theft (Misd),1,0,1,0,0,No Bail,5,0,0,Male,White,Judge10,TRUE
17BU021858,Defendant909,9/12/2017,"Driving Under The Influence, First Offense",1,0,0,0,0,No Bail,1,0,0,Male,White,Judge10,TRUE
17BU023711,Defendant127,9/12/2017,Unlawful Trespass (Misdemeanor),2,0,1,0,0,No Bail,2,0,0,Male,White,Judge10,TRUE
17BU023763,Defendant744,9/12/2017,Fugitive From Justice (Arrest Prior To Requisition),1,1,0,1,15000,Bail,NA,0,0,Male,White,Judge10,TRUE
N/A,Defendant224,9/12/2017,"Drugs - Cocaine, Sale >2.5 Gm",1,1,0,1,5000,Bail,3,0,0,Male,Black,Judge10,TRUE
17BU022858,Defendant454,9/14/2017,Domestic Assault,2,0,0,1,1000,Bail,5,0,0,Male,White,Judge2,TRUE
17BU023922,Defendant515,9/14/2017,Simple Assault,1,0,1,0,0,No Bail,1,0,0,Female,White,Judge2,TRUE
17BU023922,Defendant696,9/14/2017,Simple Assault,1,0,1,0,0,No Bail,1,0,0,Female,White,Judge2,TRUE
17BU021847,Defendant623,9/14/2017,Disorderly Conduct - All Other,1,0,1,0,0,No Bail,1,0,0,Female,Black,Judge2,TRUE
17BU022180,Defendant240,9/14/2017,"Driving Under The Influence, First Offense",1,0,0,0,0,No Bail,1,0,0,Male,White,Judge2,TRUE
17BU025515,Defendant846,9/28/2017,Violation Of An Abuse Prevention Order,1,0,0,0,0,No Bail,4,0,0,Male,Black,Judge10,TRUE
17BU025280,Defendant978,10/1/2017,Violation Of An Abuse Prevention Order,1,0,0,0,0,No Bail,4,0,0,Male,Asian,Judge14,TRUE
17BU025293,Defendant299,10/1/2017,Domestic Assault - 1st Degree Aggravated,1,1,0,0,0,No Bail,1,0,0,Male,White,Judge14,TRUE
17BU024674,Defendant155,10/1/2017,"Violation Of Conditions Of Release (Travel, Curfew, Or Contact)",1,0,0,0,0,No Bail,3,0,0,Male,White,Judge14,TRUE
17BU021055,Defendant273,10/1/2017,Driving With A Criminally Suspended License,1,0,1,0,0,No Bail,2,0,0,Male,Black,Judge14,TRUE
17BU023006,Defendant987,10/1/2017,Driving With A Criminally Suspended License,1,0,1,0,0,No Bail,1,1,0,Female,White,Judge14,TRUE
17BU023227,Defendant688,10/1/2017,Driving Under The Influence; Second And Subsequent Offense,1,0,0,0,0,No Bail,2,0,0,Female,White,Judge14,TRUE
17BU012321,Defendant127,10/1/2017,Cruelty To Children Under 10 By One Over 16,2,0,0,1,100,Bail,3,0,1,Male,White,Judge12,TRUE
17BU023001,Defendant404,10/2/2017,Driving Under The Influence; Second And Subsequent Offense,2,0,0,0,0,No Bail,3,0,0,Female,White,Judge14,TRUE
17BU00001,Defendant978,10/3/2017,Violation Of An Abuse Prevention Order,2,0,0,0,0,No Bail,5,0,1,Male,Asian,Judge10,TRUE
17BU025675,Defendant218,10/4/2017,Unlawful Trespass (Felony),1,1,0,0,0,No Bail,4,0,0,Male,White,Judge12,TRUE
17BU023976,Defendant454,10/4/2017,"Drugs - Cocaine, Possession >25 Gm",4,1,0,1,5000,Bail,1,0,1,Male,White,Judge12,TRUE
17BU026039,Defendant454,10/4/2017,Violation Of An Abuse Prevention Order,2,0,0,1,5000,Bail,1,0,2,Male,White,Judge12,TRUE
17BU023260,Defendant492,10/5/2017,"Drugs - Cocaine, Sale <2.5 Gm",3,1,0,1,2500,Bail,4,0,0,Male,Black,Judge10,TRUE
17BU026084,Defendant579,10/5/2017,Probation-Parole Violation,1,0,0,0,0,No Bail,3,0,0,Male,White,Judge10,TRUE
17BU026112,Defendant887,10/5/2017,Simple Assault,1,0,1,0,0,No Bail,4,0,0,Female,White,Judge10,TRUE
17BU024395,Defendant46,10/5/2017,Unlawful Mischief (Misdemeanor),1,0,1,0,0,No Bail,4,0,0,Female,White,Judge10,TRUE
17BU024547,Defendant890,10/5/2017,"Driving Under The Influence, First Offense",1,0,0,0,0,No Bail,3,0,0,Male,White,Judge10,TRUE
17BU024372,Defendant1009,10/5/2017,"Driving Under The Influence, First Offense",2,0,0,0,0,No Bail,4,0,0,Male,Black,Judge10,TRUE
17BU024795,Defendant726,10/5/2017,Retail Theft (Misd),1,0,1,0,0,No Bail,3,0,0,Male,White,Judge10,TRUE
17BU023062,Defendant367,10/5/2017,Assault On A Law Enforcement Officer (Misdemeanor),1,0,0,1,250,Bail,NA,1,0,Male,Black,Judge10,TRUE
17BU024331,Defendant1039,10/5/2017,"Driving Under The Influence, First Offense",1,0,0,0,0,No Bail,1,0,0,Female,White,Judge10,TRUE
17BU024245,Defendant624,10/5/2017,Violation Of Conditions Of Release (Other),1,0,0,0,0,No Bail,1,0,0,Male,White,Judge10,TRUE
17BU026213,Defendant53,10/6/2017,"Violation Of Conditions Of Release (Travel, Curfew, Or Contact)",1,0,0,1,500,Bail,1,1,0,Male,White,Judge1,TRUE
17BU026411,Defendant892,10/9/2017,Simple Assault,2,0,1,0,0,No Bail,5,0,0,Male,White,Judge10,TRUE
17BU026389,Defendant53,10/9/2017,Unlawful Trespass (Felony),4,1,0,0,0,No Bail,6,0,1,Male,White,Judge10,TRUE
17BU026409,Defendant145,10/9/2017,Unlawful Trespass (Felony),1,1,0,0,0,No Bail,4,0,0,Female,White,Judge10,TRUE
17BU026277,Defendant294,10/9/2017,Domestic Assault - 1st Degree Aggravated,3,1,0,0,0,No Bail,4,0,0,Male,White,Judge10,TRUE
17BU026476,Defendant70,10/9/2017,Burglary,2,1,0,0,0,No Bail,1,0,0,Male,White,Judge10,TRUE
17BU023783,Defendant489,10/10/2017,Driving With A Criminally Suspended License,1,0,1,0,0,No Bail,2,0,0,Female,White,Judge12,TRUE
17BU024852,Defendant125,10/10/2017,"Drugs - Cocaine, Possession  Misdemeanor",1,0,1,0,0,No Bail,1,0,0,Male,White,Judge12,TRUE
17BU012708,Defendant806,10/10/2017,Disorderly Conduct - All Other,1,0,1,0,0,No Bail,1,0,0,Male,White,Judge12,TRUE
17BU0024212,Defendant663,10/10/2017,"Drugs - Depressant, Stimulant, And Narcotic Possession Misdemeanor",2,0,1,0,0,No Bail,1,1,0,Male,White,Judge12,TRUE
17BU024505,Defendant230,10/10/2017,Retail Theft (Misd),1,0,1,0,0,No Bail,3,0,0,Male,White,Judge12,TRUE
17BU023821,Defendant669,10/10/2017,Unlawful Trespass (Misdemeanor),1,0,1,0,0,No Bail,1,1,0,Female,White,Judge12,TRUE
17BU018251,Defendant790,10/10/2017,Unlawful Trespass (Misdemeanor),1,0,1,1,250,Bail,1,1,0,Female,White,Judge12,TRUE
17BU026237,Defendant677,10/10/2017,Unlawful Trespass (Misdemeanor),1,0,1,0,0,No Bail,1,1,0,Male,White,Judge12,TRUE
17BU026512,Defendant726,10/10/2017,Simple Assault,4,0,1,0,0,No Bail,1,0,1,Male,White,Judge12,TRUE
17BU025075,Defendant825,10/10/2017,Disorderly Conduct - All Other,1,0,1,0,0,No Bail,1,0,0,Male,White,Judge12,TRUE
17BU026500,Defendant928,10/10/2017,Simple Assault,1,0,1,0,0,No Bail,4,0,0,Male,White,Judge12,TRUE
17BU026342,Defendant799,10/12/2017,Aggravated Assault,2,1,0,0,0,No Bail,7,0,0,Male,Black,Judge10,TRUE
17BU04631,Defendant560,10/12/2017,NA,1,NA,NA,0,0,No Bail,NA,0,0,Male,White,Judge10,TRUE
WS006508,Defendant1005,10/12/2017,Obstruction Of Justice,2,1,0,1,5000,Bail,2,0,0,Male,Black,Judge10,TRUE
17BU014998,Defendant205,10/16/2017,Disorderly Conduct - All Other,1,0,1,0,0,No Bail,3,0,0,Male,Black,Judge10,TRUE
17BU026792,Defendant46,10/16/2017,Disorderly Conduct - All Other,2,0,1,0,0,No Bail,4,0,1,Female,White,Judge10,TRUE
17BU023710,Defendant46,10/16/2017,Unlawful Trespass (Misdemeanor),1,0,1,0,0,No Bail,3,0,2,Female,White,Judge10,TRUE
17BU027071,Defendant362,10/16/2017,"Drugs - Cocaine, Possession  Misdemeanor",1,0,1,0,0,No Bail,3,0,0,Male,White,Judge10,TRUE
